"Chemical","Concentration","days_starved","avg","sd","sem","n"
"Alanine",0.5,6,0.302708464714014,0.225745505367708,0.065167114146197,12
"Arginine",0.5,6,0.247053956165435,0.13045691669367,0.0461234852233914,8
"Glutamic Acid",0,5,0.270180334744446,0.322684801271508,0.080671200317877,16
"Glutamic Acid",0,7,0.276147302393979,0.27116387244603,0.0677909681115076,16
"Glutamic Acid",0,12,0.357651804776246,0.277608897126775,0.0694022242816937,16
"Glutamic Acid",0,19,0.31647340799563,0.208811183536052,0.0558071362370484,14
"Glutamic Acid",0.01,12,0.27010489270445,0.216587310238149,0.0541468275595372,16
"Glutamic Acid",0.1,11,0.419743559495359,0.301189899490326,0.0752974748725814,16
"Glutamic Acid",0.5,6,0.459456761956003,0.259747380299901,0.0749826099687239,12
"Glutamic Acid",0.75,6,0.30386849727466,0.237872811025146,0.0686679657391304,12
"Glutamic Acid",1,11,0.249731436184993,0.235954696477174,0.0609232406610348,15
"Glutamic Acid",50,11,0.31451183176164,0.181102946235349,0.0452757365588373,16
"Glutamic Acid",100,7,0.319483430769104,0.231879614954836,0.0579699037387089,16
"Glycine",0.5,7,0.436294920540112,0.198033058722115,0.0495082646805287,16
"Histidine",0.5,6,0.325997653986548,0.218049357374782,0.0545123393436955,16
