Experimenters,Chemical,Concentration,Concentration_units,n_burrowed,n_not_burrowed,Notes
Max-Chinmayi,NaCl,0,M,8,2,
Max-Chinmayi,NaCl,0,M,10,0,
Max-Chinmayi,NaCl,0,M,10,0,
Max-Chinmayi,NaCl,0,M,8,2,escaped
Megan-Varun,NaCl,0.25,M,2,8,jumped/escaped
Megan-Varun,NaCl,0.25,M,2,8,jumped/escaped
Megan-Varun,NaCl,0.25,M,3,7,
Megan-Varun,NaCl,0.25,M,3,5,
Arushi-Julia,NaCl,0.5,M,4,6,jumped/escaped
Arushi-Julia,NaCl,0.5,M,3,7,jumped/escaped
Arushi-Julia,NaCl,0.5,M,4,6,jumped/escaped
Arushi-Julia,NaCl,0.5,M,2,8,jumped/escaped
Ashley-Jeffrey,NaCl,0.75,M,1,9,
Ashley-Jeffrey,NaCl,0.75,M,1,9,
Ashley-Jeffrey,NaCl,0.75,M,3,7,
Ashley-Jeffrey,NaCl,0.75,M,0,10,
Ashley-Jeffrey,AITC,0.5,mM,8,2,
Ashley-Jeffrey,AITC,10,mM,0,10,
Arushi-Julia,AITC,0.5,mM,10,0,
Arushi-Julia,AITC,10,mM,0,10,
Megan-Varun,AITC,0.5,mM,9,1,
Megan-Varun,AITC,10,mM,0,10,
Max-Chinmayi,AITC,0.5,mM,10,0,
Max-Chinmayi,AITC,10,mM,1,9,
Ashley-Jeffrey,Cinnamaldehyde,100,mM,2,8,
Megan-Varun,Cinnamaldehyde,100,mM,2,8,
Max-Chinmayi,Cinnamaldehyde,100,mM,2,8,
Arushi-Julia,Cinnamaldehyde,100,mM,2,8,
Arushi-Julia,Cinnamaldehyde,0,mM,10,0,
Max-Chinmayi,Cinnamaldehyde,0,mM,10,0,
Megan-Varun,Cinnamaldehyde,0,mM,10,0,
Ashley-Jeffrey,Cinnamaldehyde,0,mM,9,1,no movement from the 1 that didn't burrow
Arushi-Julia,Cinnamaldehyde,1,mM,10,0,
Max-Chinmayi,Cinnamaldehyde,1,mM,10,0,
Megan-Varun,Cinnamaldehyde,1,mM,10,0,
Ashley-Jeffrey,Cinnamaldehyde,1,mM,10,0,
Arushi-Julia,Cinnamaldehyde,50,mM,3,7,
Max-Chinmayi,Cinnamaldehyde,50,mM,2,8,
Megan-Varun,Cinnamaldehyde,50,mM,4,6,
Ashley-Jeffrey,Cinnamaldehyde,50,mM,0,10,
Arushi-Julia,Cinnamaldehyde,10,mM,10,0,
Max-Chinmayi,Cinnamaldehyde,10,mM,10,0,
Megan-Varun,Cinnamaldehyde,10,mM,4,6,
Ashley-Jeffrey,Cinnamaldehyde,10,mM,4,6,
Arushi-Julia,Cinnamaldehyde,10,mM,8,2,
Max-Chinmayi,Cinnamaldehyde,10,mM,10,0,
Megan-Varun,Cinnamaldehyde,10,mM,9,1,
Ashley-Jeffrey,Cinnamaldehyde,10,mM,1,9,
Arushi-Julia,Eugenol,10,mM,10,0,
Ashley-Jeffrey,Eugenol,10,mM,10,0,
Megan-Varun,Eugenol,10,mM,9,1,
Max-Chinmayi,Eugenol,10,mM,10,0,
Arushi-Julia,Eugenol,100,mM,1,9,
Ashley-Jeffrey,Eugenol,100,mM,0,10,1 worm was not moving
Megan-Varun,Eugenol,100,mM,5,5,
Max-Chinmayi,Eugenol,100,mM,2,8,
Arushi-Julia,Eugenol,50,mM,3,7,
Ashley-Jeffrey,Eugenol,50,mM,0,10,
Megan-Varun,Eugenol,50,mM,4,6,
Max-Chinmayi,Eugenol,50,mM,8,2,
Arushi-Julia,Eugenol,0,mM,10,0,
Ashley-Jeffrey,Eugenol,0,mM,10,0,
Megan-Varun,Eugenol,0,mM,10,0,
Max-Chinmayi,Eugenol,0,mM,10,0,
Arushi-Julia,Eugenol,20,mM,9,1,
Ashley-Jeffrey,Eugenol,20,mM,8,2,
Megan-Varun,Eugenol,20,mM,9,1,
Max-Chinmayi,Eugenol,20,mM,9,1,
